period_id,commercial_mutation_type_id,nr_of_customers,mrr_per_customer,value_type_id
0,1,3000,5000,2
1,1,60,5000,2
2,1,60,5006.26,2
3,1,60,5012.43,2
4,1,60,5018.5,2
5,1,60,5024.48,2
6,1,60,5030.37,2
7,1,60,5036.19,2
8,1,60,5041.92,2
9,1,60,5047.57,2
10,1,60,5053.14,2
11,1,60,5058.64,2
12,1,60,5064.07,2
13,1,60,5069.43,2
14,1,60,5074.72,2
15,1,60,5079.95,2
16,1,60,5085.11,2
17,1,60,5090.21,2
18,1,60,5095.25,2
19,1,60,5100.24,2
20,1,60,5105.16,2
21,1,60,5110.03,2
22,1,60,5114.85,2
23,1,60,5119.61,2
24,1,60,5124.33,2
25,1,60,5128.99,2
26,1,60,5133.6,2
27,1,60,5138.17,2
28,1,60,5142.69,2
29,1,60,5147.16,2
30,1,60,5151.59,2
31,1,60,5155.98,2
32,1,60,5160.33,2
33,1,60,5164.63,2
34,1,60,5168.9,2
35,1,60,5173.12,2
36,1,60,5177.31,2
1,2,4,5000,2
2,2,4,5000,2
3,2,4,5000,2
4,2,4,5000,2
5,2,4,5000,2
6,2,4,5000,2
7,2,4,5000,2
8,2,4,5000,2
9,2,4,5000,2
10,2,4,5000,2
11,2,4,5000,2
12,2,4,5000,2
13,2,4,5000,2
14,2,4,5000,2
15,2,4,5000,2
16,2,4,5000,2
17,2,4,5000,2
18,2,4,5000,2
19,2,4,5000,2
20,2,4,5000,2
21,2,4,5000,2
22,2,4,5000,2
23,2,4,5000,2
24,2,4,5000,2
25,2,4,5000,2
26,2,4,5000,2
27,2,4,5000,2
28,2,4,5000,2
29,2,4,5000,2
30,2,4,5000,2
31,2,4,5000,2
32,2,4,5000,2
33,2,4,5000,2
34,2,4,5000,2
35,2,4,5000,2
36,2,4,5000,2
1,3,1,1000,2
2,3,1,1000,2
3,3,1,1000,2
4,3,1,1000,2
5,3,1,1000,2
6,3,1,1000,2
7,3,1,1000,2
8,3,1,1000,2
9,3,1,1000,2
10,3,1,1000,2
11,3,1,1000,2
12,3,1,1000,2
13,3,1,1000,2
14,3,1,1000,2
15,3,1,1000,2
16,3,1,1000,2
17,3,1,1000,2
18,3,1,1000,2
19,3,1,1000,2
20,3,1,1000,2
21,3,1,1000,2
22,3,1,1000,2
23,3,1,1000,2
24,3,1,1000,2
25,3,1,1000,2
26,3,1,1000,2
27,3,1,1000,2
28,3,1,1000,2
29,3,1,1000,2
30,3,1,1000,2
31,3,1,1000,2
32,3,1,1000,2
33,3,1,1000,2
34,3,1,1000,2
35,3,1,1000,2
36,3,1,1000,2
1,4,25,5000,2
2,4,13,5006.26,2
3,4,13,5012.43,2
4,4,13,5018.5,2
5,4,13,5024.48,2
6,4,13,5030.37,2
7,4,14,5036.19,2
8,4,14,5041.92,2
9,4,14,5047.57,2
10,4,14,5053.14,2
11,4,14,5058.64,2
12,4,15,5064.07,2
13,4,15,5069.43,2
14,4,15,5074.72,2
15,4,15,5079.95,2
16,4,15,5085.11,2
17,4,16,5090.21,2
18,4,16,5095.25,2
19,4,16,5100.24,2
20,4,16,5105.16,2
21,4,16,5110.03,2
22,4,16,5114.85,2
23,4,17,5119.61,2
24,4,17,5124.33,2
25,4,17,5128.99,2
26,4,17,5133.6,2
27,4,17,5138.17,2
28,4,18,5142.69,2
29,4,18,5147.16,2
30,4,18,5151.59,2
31,4,18,5155.98,2
32,4,18,5160.33,2
33,4,18,5164.63,2
34,4,19,5168.9,2
35,4,19,5173.12,2
36,4,19,5177.31,2
1,1,63,5038.568661,1
2,1,55,5057.152535,1
3,1,55,5049.385081,1
4,1,65,4647.522727,1
5,1,58,5145.792625,1
6,1,66,4901.884991,1
7,1,62,5191.337872,1
8,1,60,4770.33351,1
9,1,65,5385.515524,1
10,1,60,4554.689774,1
11,1,56,4870.133603,1
12,1,55,4679.673655,1
13,1,57,5222.25341,1
14,1,57,5561.685166,1
15,1,63,5375.378783,1
16,1,58,4966.079475,1
17,1,55,4719.34772,1
18,1,65,5125.612947,1
19,1,66,4780.486173,1
20,1,65,5034.773716,1
21,1,55,4865.917419,1
22,1,61,5450.54319,1
23,1,59,5616.428658,1
24,1,58,5368.493935,1
25,1,56,5405.992588,1
26,1,61,4876.233717,1
27,1,65,5537.239289,1
28,1,56,4680.529578,1
29,1,59,4871.756679,1
30,1,62,5158.491153,1
31,1,65,5132.183055,1
32,1,55,5154.162933,1
33,1,61,5056.614175,1
34,1,65,4766.54491,1
35,1,62,4780.804185,1
36,1,55,4810.351989,1
1,2,8,4941.685902,1
2,2,8,5029.647628,1
3,2,3,5453.495627,1
4,2,2,4580.685673,1
5,2,5,4812.623805,1
6,2,5,5134.985083,1
7,2,8,5161.426854,1
8,2,5,4622.008784,1
9,2,8,5321.017025,1
10,2,3,5003.38734,1
11,2,10,4798.852606,1
12,2,8,5022.201654,1
13,2,5,5382.486442,1
14,2,0,4908.177189,1
15,2,9,4832.250576,1
16,2,8,5091.006194,1
17,2,0,5328.022576,1
18,2,8,5385.577129,1
19,2,4,5142.942073,1
20,2,9,5342.875597,1
21,2,2,4925.060895,1
22,2,7,4587.826671,1
23,2,2,4772.082904,1
24,2,4,5085.104101,1
25,2,7,5430.868548,1
26,2,10,4746.285797,1
27,2,7,4779.157597,1
28,2,5,5492.667418,1
29,2,0,4729.542511,1
30,2,6,5459.155074,1
31,2,9,4703.265631,1
32,2,4,5123.173164,1
33,2,9,5362.708519,1
34,2,9,4691.293684,1
35,2,9,4765.901561,1
36,2,0,4513.797914,1
1,3,5,1010.809696,1
2,3,3,965.5437883,1
3,3,1,1026.919213,1
4,3,1,994.3626665,1
5,3,8,1029.814833,1
6,3,0,971.5443911,1
7,3,7,1055.739576,1
8,3,3,984.2561907,1
9,3,0,1048.82063,1
10,3,1,956.6271881,1
11,3,7,938.3483571,1
12,3,6,1040.144273,1
13,3,8,1032.436446,1
14,3,10,928.4289789,1
15,3,10,1005.852103,1
16,3,2,904.0080626,1
17,3,9,1069.748654,1
18,3,2,1023.824466,1
19,3,10,1003.312836,1
20,3,8,975.9441731,1
21,3,9,941.2128538,1
22,3,1,914.2682376,1
23,3,8,1063.584673,1
24,3,6,1026.253406,1
25,3,0,972.6297721,1
26,3,8,1088.99946,1
27,3,3,985.351357,1
28,3,1,1003.022242,1
29,3,3,977.2850718,1
30,3,5,1095.168166,1
31,3,9,907.1677493,1
32,3,6,990.1347855,1
33,3,5,1095.341262,1
34,3,2,954.7622478,1
35,3,9,955.4409811,1
36,3,8,914.598308,1
1,4,13,4769.138132,1
2,4,14,4882.528737,1
3,4,13,5196.235575,1
4,4,18,4527.995047,1
5,4,4,4979.671492,1
6,4,4,5153.366065,1
7,4,6,5252.214975,1
8,4,16,5230.705803,1
9,4,2,5129.621538,1
10,4,6,5299.45508,1
11,4,5,4776.310677,1
12,4,0,5543.681653,1
13,4,4,4600.515367,1
14,4,0,4980.833958,1
15,4,4,4842.029108,1
16,4,12,4983.039138,1
17,4,19,5048.070917,1
18,4,10,5137.140189,1
19,4,10,4915.805887,1
20,4,9,4814.179516,1
21,4,7,5591.699953,1
22,4,19,5295.026826,1
23,4,6,5072.695548,1
24,4,9,4642.943111,1
25,4,14,5635.131071,1
26,4,5,4836.826807,1
27,4,3,4957.387979,1
28,4,11,5598.295967,1
29,4,19,4708.608504,1
30,4,5,5100.437803,1
31,4,13,5032.687742,1
32,4,8,4670.296077,1
33,4,16,5254.079074,1
34,4,2,5183.909506,1
35,4,0,4660.097779,1
36,4,16,5489.881897,1
