id,name,parent_gl
1,revenue,
2,subscriptions,1
3,services,1
4,others,1
5,cogs,
6,payment_fees,5
7,other_costs,5
8,commercial_costs,
9,sales,8
10,sales_staff,9
11,sales_non_staff,9
12,marketing,8
13,marketing_staff,12
14,marketing_non_staff,12
15,csm,8
16,csm_staff,15
17,csm_non_staff,15
18,fixed_costs,
19,development,18
20,development_staff,19
21,development_non_staff,19
22,product,18
23,product_staff,22
24,product_non_staff,22
25,talent,18
26,talent_staff,25
27,talent_non_staff,25
28,general_and_admin,18
29,general_and_admin_staff,28
30,general_and_admin_non_staff,28
31,data,18
32,data_staff,31
33,data_non_staff,31
