period_id,gl_account_id,type_id,amount
1,2,2,15000000
2,2,2,15194000
3,2,2,15448294.23
4,2,2,15702878.21
5,2,2,15957747.59
6,2,2,16212898.14
7,2,2,16468325.76
8,2,2,16718990.28
9,2,2,16969918.37
10,2,2,17221106.42
11,2,2,17472550.94
12,2,2,17724248.49
13,2,2,17971131.68
14,2,2,18218256.06
15,2,2,18465618.6
16,2,2,18713216.36
17,2,2,18961046.45
18,2,2,19204015.86
19,2,2,19447207.07
20,2,2,19690617.54
21,2,2,19934244.76
22,2,2,20178086.28
23,2,2,20422139.71
24,2,2,20661283.11
25,2,2,20900629.13
26,2,2,21140175.65
27,2,2,21379920.56
28,2,2,21619861.82
29,2,2,21854854.73
30,2,2,22090035.58
31,2,2,22325402.54
32,2,2,22560953.79
33,2,2,22796687.56
34,2,2,23032602.12
35,2,2,23263526.87
36,2,2,23494624.85
1,3,2,500
2,3,2,500
3,3,2,500
4,3,2,500
5,3,2,500
6,3,2,500
7,3,2,500
8,3,2,500
9,3,2,500
10,3,2,500
11,3,2,500
12,3,2,500
13,3,2,500
14,3,2,500
15,3,2,500
16,3,2,500
17,3,2,500
18,3,2,500
19,3,2,500
20,3,2,500
21,3,2,500
22,3,2,500
23,3,2,500
24,3,2,500
25,3,2,500
26,3,2,500
27,3,2,500
28,3,2,500
29,3,2,500
30,3,2,500
31,3,2,500
32,3,2,500
33,3,2,500
34,3,2,500
35,3,2,500
36,3,2,500
1,4,2,500
2,4,2,500
3,4,2,500
4,4,2,500
5,4,2,500
6,4,2,500
7,4,2,500
8,4,2,500
9,4,2,500
10,4,2,500
11,4,2,500
12,4,2,500
13,4,2,500
14,4,2,500
15,4,2,500
16,4,2,500
17,4,2,500
18,4,2,500
19,4,2,500
20,4,2,500
21,4,2,500
22,4,2,500
23,4,2,500
24,4,2,500
25,4,2,500
26,4,2,500
27,4,2,500
28,4,2,500
29,4,2,500
30,4,2,500
31,4,2,500
32,4,2,500
33,4,2,500
34,4,2,500
35,4,2,500
36,4,2,500
1,6,2,600040
2,6,2,607800
3,6,2,617972
4,6,2,628155
5,6,2,638350
6,6,2,648556
7,6,2,658773
8,6,2,668800
9,6,2,678837
10,6,2,688884
11,6,2,698942
12,6,2,709010
13,6,2,718885
14,6,2,728770
15,6,2,738665
16,6,2,748569
17,6,2,758482
18,6,2,768201
19,6,2,777928
20,6,2,787665
21,6,2,797410
22,6,2,807163
23,6,2,816926
24,6,2,826491
25,6,2,836065
26,6,2,845647
27,6,2,855237
28,6,2,864834
29,6,2,874234
30,6,2,883641
31,6,2,893056
32,6,2,902478
33,6,2,911908
34,6,2,921344
35,6,2,930581
36,6,2,939825
1,7,2,500
2,7,2,500
3,7,2,500
4,7,2,500
5,7,2,500
6,7,2,500
7,7,2,500
8,7,2,500
9,7,2,500
10,7,2,500
