date,year_month,year_week
2024-12-31,202412,202501
2025-01-01,202501,202501
2025-02-01,202502,202505
2025-03-01,202503,202509
2025-04-01,202504,202514
2025-05-01,202505,202518
2025-06-01,202506,202522
2025-07-01,202507,202527
2025-08-01,202508,202531
2025-09-01,202509,202536
2025-10-01,202510,202540
2025-11-01,202511,202544
2025-12-01,202512,202549
2026-01-01,202601,202601
2026-02-01,202602,202605
2026-03-01,202603,202609
2026-04-01,202604,202614
2026-05-01,202605,202618
2026-06-01,202606,202623
2026-07-01,202607,202627
2026-08-01,202608,202631
2026-09-01,202609,202636
2026-10-01,202610,202640
2026-11-01,202611,202644
2026-12-01,202612,202649
2027-01-01,202701,202653
2027-02-01,202702,202705
2027-03-01,202703,202709
2027-04-01,202704,202713
2027-05-01,202705,202717
2027-06-01,202706,202722
2027-07-01,202707,202726
2027-08-01,202708,202730
2027-09-01,202709,202735
2027-10-01,202710,202739
2027-11-01,202711,202744
2027-12-01,202712,202748
